Size of adjusted gross income,"Number
of
returns",Tax credits,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,"Income
tax after
credits",Unnamed: 65,"Net investment
income tax",Unnamed: 67,"Total
income
tax",Unnamed: 69,All other taxes,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Refundable credits used to offset all other taxes,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,"Total
tax
liability",Unnamed: 107,Tax payments,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Refundable credits refundable portion,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,"Total income tax
minus refundable credits [3]",Unnamed: 141,Overpayment,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,"Tax due at
time of filing",Unnamed: 149,"Predetermined estimated
tax penalty",Unnamed: 151,Unnamed: 152,Unnamed: 153
,,Total,,Nonrefundable credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total refundable credits,,,,,,,,,,,,,,,,,,Refundable credits used to offset income tax before credits,,,,,,,,,,,,,,,,,,Total,,"Self-employment
tax",,"Social Security taxes
on tip income",,"Uncollected Social
Security tax",,"Total additional Social Security
and Medicare tax",,"Uncollected Social Security and Medicare
tax on tips or group-term life insurance",,"Interest on deferred tax on gain
from certain installment sales",,"Penalty tax on qualified
retirement plans",,"Household
employment tax",,"First-time homebuyer
credit repayment",,"Total additional
Medicare tax",,"Total additional
taxes",,Total,,"Earned income credit
 used to offset other taxes",,"Refundable child tax credit or
additional child tax credit
 used to offset other taxes",,"American opportunity credit
 used to offset other taxes",,"Recovery rebate credit
 used to offset other taxes [2]",,"Refundable child and dependent care
credit used to offset all other taxes",,,,Total,,"Income tax
withheld",,"Income tax
withheld from W2",,"Income tax withheld
from Form 1099",,"Income tax withheld
from other forms",,"Estimated tax
payments",,"Payments with request
for extension of filing time",,"Excess social security
taxes withheld",,"Credit for Federal tax on
gasoline and special fuels",,"Deferral for certain
Schedule H or SE filers",,Total,,"Earned income credit
refundable portion",,"Refundable child tax credit or
additional child tax credit
refundable portion",,"American opportunity credit
refundable portion",,"Recovery rebate credit
refundable portion [2]",,"Refundable child and dependent
care credit refundable portion",,,,Total,,Refunded,,"Credited to 2022
estimated tax",,,,,,,
,,,,"Foreign tax
credit",,"Child care
credit",,"Nonrefundable
education credit",,"Retirement savings
contribution credit",,"Nonrefundable child and other
dependent tax credit",,"Residential energy
credits",,Other nonrefundable credits,,,,,,,,,,,,,,,,,,Total,,Earned income credit,,"Refundable child tax credit or
additional child tax credit",,American opportunity credit,,Recovery rebate credit [2],,Net premium tax credit,,"Qualified sick and family leave credit
for leave taken before April 1, 2021",,"Refundable child and
dependent care credit",,"Qualified sick and family leave credit
for leave taken after March 31, 2021",,Total,,"Earned income credit used to
offset income tax before credits",,"Refundable child tax credit or additional
child tax credit used to offset income
tax before credits",,"American opportunity credit used to
offset income tax before credits",,"Recovery rebate credit used to
offset income tax before credits [2]",,"Refundable child and dependent care credit
used to offset income tax before credits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Total [1],,General business credit,,Prior-year minimum tax credit,,Adoption credit,,Credit for elderly and disabled,,Alternative motor vehicle credit,,Alternative fuel vehicle refueling prop. credit,,Qualified plug-in electric vehicle credit,,Mortgage interest credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,,
"All returns, total",160824340.0,67228472,150056640,10826959,29482592,601920,1077709,8122952,8279606,9199130,1759140,11778814,8724570,2606659,5333333,1096247,10366908,522507,7067166,124228,1493146,71702,335203,40263,3734,22513,103380,87508,42683,166244,1037358,90788,136590,66051616,233400306,32216183,65684435,37771612,115869125,6027056,5170213,12188336,20863054,4343215,3625006,1185058,4734950,5632571,11980877,1198515,5434617,43829777,85032586,15303483,9374006,23390345,57613280,3173123,2379377,5070792,7093487,3462895,5987803,104549808,2136650742,7211136,59697612,104573768,2196348205,33570834,104553699,21622374,77180298,72440,13531,52748,29055,119251,42113,609799,209730,8736,153379,4484060,5199727,172532,1215538,456717,220396,6028804,14590722,374109,611859,9960608,13067968,7204793,7802494,2031748,2799308,331071,171855,586244,532573,202168,219166,108226969,2287567821,140403775,2354668316,137245950,1470768559,117913495,1275505679,37574056,173057656,5455513,14447476,10159899,534373752,2579513,333198369,1896100,5011595,241533,236397,21745,36593,38362021,135299753,25321866,48507936,18541727,55456537,3208328,2618981,8312892,13236995,2643717,5773909,145337695,2047980485,115781497,494571248,112779775,378564518,3781189,116006730,38883806,305053445,12211598,1951700,,
No adjusted gross income,4098522.0,12327,33270,151,222,0,0,1609,964,1869,1743,3113,1684,130,620,5808,24662,1520,24013,535,15,0,0,4766,526,0,0,0,0,43,223,0,0,2160810,7612477,406043,813324,684329,2525090,93819,87508,1204696,2140771,167952,161445,88301,899109,1876,5719,85939,971741,1735,3575,66,131,639,1772,278,160,631,1127,7137,5253,4361,186617,66,271,4367,186881,248414,768855,187229,595444,0,0,2109,422,96,61,1072,65,212,3233,19097,19433,1535,19495,4381,2032,14803,30844,3431,71614,155938,183889,103395,84209,95930,119107,1783,1416,16697,21608,5191,4165,140912,769894,640292,5449942,540057,2741324,306505,2113070,269856,560473,18426,22504,110329,2064841,23611,520356,5701,16069,19528,100687,192,247,2100275,7425012,359807,728984,671975,2468082,92617,85932,1197555,2118036,1713,4917,2164244,-7422021,2496555,12436262,2448307,11057702,66663,1378561,98047,335375,25663,2551, ,
"$1 under $5,000",8487025.0,35316,1427,25213,653,0,0,3017,322,4037,520,0,0,0,0,43,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3685785,8361006,2974347,2772092,893885,3028202,190600,165808,982518,1609728,198657,94518,49115,317545,36207,35604,41661,337508,4064,197,3024,115,0,0,0,0,2097,895,0,0,142544,73072,0,0,142593,73079,1278761,571914,1176024,521399,4034,116,0,0,6047,477,5031,48,0,0,49372,5285,1557,12207,6030,3048,1625,1209,7141,892,834488,341645,755118,301108,34773,13704,13954,4817,98722,43814,1036,2971,655294,300353,4064588,1370367,3996714,1155191,3419066,595746,588594,495502,23827,50688,58822,159484,21825,21892,1239,961,9348,5079,10307,6584,3572454,8019164,2825663,2470868,891371,3014498,188597,160991,979321,1594412,332826,673068,3827370,-8287729,5701636,9270766,5662878,9189950,42847,80817,586481,211718,6992,261,,
"$5,000 under $10,000",8944908.0,42757,7155,32501,1150,0,0,0,0,3010,773,1107,681,0,0,0,0,0,0,1021,420,0,0,0,0,0,0,0,0,0,0,0,0,4930755,14101025,4309924,7165617,1149241,3852416,308906,262760,1010617,1643802,283942,156379,121090,416112,90749,169945,105548,432839,6099,4070,5039,3241,0,0,0,0,0,0,0,0,184757,78223,0,0,184757,78223,1685278,1586085,1536614,1540698,4031,1363,6030,3517,9054,4407,19230,2121,0,0,92640,11084,6,78,5440,2742,476,1055,0,0,1355963,1240696,1227921,1112169,0,0,26193,12814,0,0,0,0,594280,420610,6323360,3332171,6251992,2750263,5415780,1888110,968376,796753,26644,18706,78511,365369,29340,44725,2307,1377,13482,24617,0,0,4815951,12856259,4173569,6050207,1145039,3788544,305609,249947,1004018,1614408,0,0,5115509,-14018731,7628045,15947264,7592543,15696133,49671,251131,433886,326721,71006,1593,,
"$10,000 under $15,000",10056377.0,2219399,255766,33387,1198,0,0,279106,33842,229512,20490,40197,5512,3001,287,10019,1217,0,0,0,0,5006,1742,8037,1063,0,0,0,0,0,0,0,0,6724708,23555621,6019036,13287440,1974822,6282579,431793,365551,1083251,1821306,431431,217946,190041,545895,205915,470489,176484,561914,1719741,193139,1589770,176998,20124,3318,3024,67,89118,10878,0,0,1055682,211113,0,0,1055682,211113,2218265,3020428,2021411,2907764,10079,3244,7041,1850,16112,5095,25149,4290,0,0,106020,36042,3,37,13473,6140,948,860,7113,2403,1942958,2380013,1802617,2124232,70681,97316,30814,14128,65341,51695,0,0,1659012,844658,7574504,6476748,7392485,5682135,6083067,3848588,1681679,1747883,40589,37616,130624,293256,22335,39854,3428,818,17352,15014,0,0,6243533,20982469,5458559,10986210,1950712,6181945,422874,351356,1066686,1758733,0,0,7752354,-23151369,8761110,26756210,8709312,26651078,65446,105132,711964,588127,152519,4029,, 
"$15,000 under $20,000",9786580.0,5039256,1843123,80900,7545,5023,1658,627251,255481,680877,169380,133428,30948,29203,6847,33887,4739,3454,1229,0,0,0,0,27461,2144,0,0,0,0,2007,268,0,0,6945722,23422907,6150544,12337104,2172283,7231402,517500,436192,1023776,1696315,462948,235695,145918,405066,238324,589674,172210,491272,4002356,1366607,3672745,1199061,79779,24453,21132,1900,278892,105633,0,0,3224915,1247479,208,6,3224975,1247485,1814266,2804212,1561123,2681015,9037,1948,3024,1778,11053,3726,22150,4266,320,1571,156257,59998,1327,4017,3998,1999,1276,918,5040,2523,1420103,1712084,1228981,1385495,73030,121442,42829,21175,73273,57022,1222,1605,3721889,2334196,7907052,9661344,7796660,8715040,6141020,5810364,2305738,2792648,32432,49634,120478,365015,18466,41816,0,0,21278,13999,0,0,5416532,20344216,4508155,9752548,2151962,7085506,487699,413118,987022,1533661,477812,1108348,9083646,-20808815,8486562,28207959,8452166,28076798,47797,131161,1058363,1067994,228958,7843,,
"$20,000 under $25,000",8863570.0,4586797,2068853,103979,19770,10011,4641,664265,465991,1093552,162924,420506,157763,40592,22098,6942,3156,3931,2215,998,272,0,0,0,0,0,0,0,0,0,0,3024,3051,4600897,19325107,3444185,9244718,2153242,6901308,465093,387495,847365,1342686,481852,279577,93384,291415,239669,520386,92882,353062,2914590,1232496,2176766,660342,154354,73571,67470,13956,413876,370508,0,0,4511505,4047553,637,78,4511653,4047630,1550823,2536842,1245945,2388293,8142,1551,7996,3173,15130,4724,21127,6039,0,0,167288,54384,1012,13468,4989,2074,2198,843,8559,1685,904792,1327399,689754,982240,99342,178100,33314,14929,62922,40113,0,0,4756892,5251906,7625459,12102032,7523754,11128661,6291576,8194838,2084790,2831820,36574,28222,131606,428623,28192,58391,2852,499,13484,10332,0,0,3511561,16765212,2477558,7602136,2122884,6649638,414467,358609,797307,932065,0,0,8213179,-14044982,7521127,24547046,7487403,24430212,44194,116834,1160092,1416104,247358,9322,,
"$25,000 under $30,000",8787576.0,4884194,3326967,144191,22360,18849,12444,676526,615623,1724040,350670,625055,295469,58993,37939,19083,19600,7061,7551,0,0,0,0,0,0,2990,3322,0,0,3015,3457,0,0,3582585,17840301,2430277,7949431,2211740,6975758,454589,372029,680506,1089026,435912,313278,71296,235153,279103,628226,70115,274829,2833589,1972863,1866658,1246168,204096,153492,208272,55763,316448,372570,0,0,5152093,6837013,393,48,5152142,6837046,1396729,2470298,1058826,2317026,5340,866,3007,2494,8347,3360,26131,3924,0,0,178749,57382,8,146,7697,3487,521,1163,9422,2014,720780,1190917,544793,816682,151490,223011,34674,12114,39266,29291,0,0,5363579,8110759,7868685,15830679,7782871,14776012,6667902,11727269,1947864,2912313,39238,39005,123452,415092,25458,67808,3184,307,14293,6015,0,0,2987650,14676521,2243682,5886581,2153253,6599254,380877,304152,480944,687166,275095,619718,8290450,-9030392,7382148,23549678,7342729,23425812,52609,123866,1287139,1730816,295353,12002,,
"$30,000 under $40,000",16123068.0,7870845,9388124,321311,53564,42650,53999,1083405,1138346,2483516,538712,1346213,820930,166711,141760,37380,48220,11005,14318,2939,2827,9065,11267,0,0,3981,5706,0,0,3000,7711,7065,5778,6022436,27335462,4190239,9483046,4155627,12843786,675713,550652,1017431,1681569,652726,514139,113675,437576,568062,1271410,119283,550877,5477978,6592594,3810635,4077845,1416234,1343002,347801,217802,494438,613659,30496,13281,10941846,21563554,868,273,10942006,21563813,2415902,4502881,1595889,4015857,7022,739,9354,2921,14368,3297,49379,16372,0,0,400859,184260,1591,7411,32528,13390,3870,3510,23100,10108,988264,1733481,648744,837627,454704,610785,35566,16044,34777,35529,13518,15776,11220001,24315719,15014014,41358911,14825466,38674781,13100230,32318878,3333256,5976250,70003,90730,315607,1420576,48972,159182,3678,1606,23318,17400,0,0,4619843,19009387,2778676,4567575,3827642,10890000,441895,316806,605230,1032381,560583,1242353,15769111,820945,13219561,38639853,13133530,38181056,123047,458797,2803402,3702354,594360,25573,,
"$40,000 under $50,000",12782334.0,5503687,9177255,407148,74304,45664,73988,735509,831254,1499373,253997,1083804,760403,207432,224582,46675,63599,14323,20301,4052,3355,8047,13407,0,0,6052,28138,5061,3028,3077,4824,10072,10980,4145565,15713661,1941773,2436900,3018270,9638816,427894,357207,790649,1298324,407628,400279,68024,288623,398957,908172,85148,381613,3951111,6895128,1844323,1824117,2420332,3925221,275892,182819,426709,540576,150830,127092,10178852,28872618,795,285,10179035,28872871,1966714,4141101,1266510,3556546,4015,1588,0,0,6022,1952,34463,15528,0,0,367443,204994,1002,4753,30604,13762,1010,1837,23298,6162,584406,1111746,192387,154292,398391,630408,29056,20168,36567,46760,29231,30569,10384400,31886983,12192137,46987677,12005136,44564650,10602954,37798866,2775477,6393319,54275,75850,350464,1490098,53521,173597,227,626,16145,6625,11090,28913,2265305,7706787,485590,458492,1861776,5083188,199542,154219,414041,710988,340461,750512,12634106,20054338,10169446,26081874,10067839,25696255,132998,385619,2551838,4060009,585983,28140,,
"$50,000 under $75,000",22653934.0,10064753,21718182,1204584,295813,97009,190935,1382773,1665101,1479343,259934,2128307,1624527,479307,766444,108926,267712,30454,80607,5510,7589,17091,45866,0,0,0,0,5047,3415,16682,73113,30127,46300,6958194,23111395,349815,194764,5292340,16812937,773375,682045,1453699,2329436,498157,574894,114333,432566,664438,1560088,113802,524090,6760443,16647716,334456,185988,5144468,13378333,609040,467414,1070807,1358252,467098,695711,20079918,93196258,1901,820,20080197,93197007,3839237,9204494,2440689,7615414,9052,984,3015,438,12067,1422,85792,37613,0,0,718971,510448,5076,6102,94671,43105,6355,7896,88226,35369,700563,1135398,11083,4440,475547,568658,60528,38352,89628,103741,72926,58136,20417216,101214256,21881635,129621967,21471052,122365348,18558072,102848915,5767431,18512674,114093,202999,1033673,5092867,173139,805640,14700,11874,22062,6112,0,0,2055651,5328281,10607,4336,1396365,2865946,213262,176279,556768,867443,393405,806242,22434816,86733328,16516708,45220571,16247511,44065991,366330,1154580,6049643,12925331,1641908,80715,,
"$75,000 under $100,000",14657726.0,6662661,18181872,1170020,356658,83723,178786,911460,1041511,0,0,1553741,1270786,419391,729743,82910,288707,30659,78303,5634,14370,11054,60714,0,0,0,0,4374,1880,12445,75924,20055,37824,4577464,16305247,0,0,3797697,12242372,521785,434052,774753,1307237,173985,309598,43892,210849,606370,1518100,52526,273499,4505449,14315680,0,0,3735941,11519311,494234,393758,686884,989547,532741,1044510,13899298,105625288,1852,947,13899732,105626193,2609463,7499556,1673199,6075802,2999,299,4021,1474,7020,1773,67685,26032,49,91,550714,569709,4550,11852,66693,35173,9897,4967,52563,18321,244963,471548,0,0,133319,155039,13735,10741,48133,59428,50601,66140,14042795,112606133,14292717,130834491,14006109,122898051,11956280,100714354,4586619,21273549,91093,160521,970227,5749954,151572,721738,12212,10540,17689,3181,0,0,539544,1518018,0,0,260531,568023,38794,29553,159063,258261,184460,407450,14563752,103636626,9833146,31893161,9603090,30797018,310586,1096143,4780522,13667450,1533409,91045,,
