Size of adjusted gross income,"Number
"$100,000 under $200,000",24044481.0,13063628,39503052,3266669,1786079,194577,436088,1758031,2231172,0,0,3206667,2722699,801210,1998114,237542,1128885,93835,402876,17829,82300,17046,158529,0,0,5311,35626,33680,15696,58579,396619,19740,31813,8750577,30080678,0,0,7367233,22012302,1165989,1068914,1317554,2900994,128414,308784,60235,180729,1582558,3400298,57151,206442,8690273,29200015,0,0,7317095,21692944,1145981,1045738,1289430,2728045,1554385,3199423,23678030,365139832,121281,56842,23680641,365196521,5296612,19067098,3380718,15487367,7310,800,3163,1732,9474,2533,172080,46967,636,2153,1139796,1904243,26909,154225,144331,68576,338361,88712,90255,69791,104311,229535,0,0,41677,72905,8625,5157,20911,43564,28379,39715,23749622,383948600,23648998,395432685,23014634,355080467,19794559,293556562,7971625,58669288,368225,712139,2939401,31807174,555184,4572338,586475,678715,35353,12055,0,0,226353,651128,0,0,101314,246454,22095,18020,64884,129386,77244,161160,23963293,364315857,13479031,57848172,12739950,52308824,956379,5539348,10470748,49324710,3588280,288367,,
"$200,000 under $500,000",9045567.0,5783882,14352702,2712345,4134956,99238,121730,0,0,0,0,1234888,1031136,325883,1028697,244730,1473269,123271,783596,47158,273627,4393,43678,0,0,2537,19660,29450,13397,60151,423925,693,797,2952371,6589267,0,0,2895919,5517608,0,0,1521,1861,17188,47691,21674,58687,720342,902766,22493,60103,2948637,6562875,0,0,2897284,5497865,0,0,1462,1798,720208,902535,9011428,437089172,7083133,59638040,9025608,443362161,5282814,18941328,1723856,13512409,1186,21,2954,3929,3395,3950,66669,35986,7518,146331,451217,1268127,55316,248309,40836,23717,3951107,3084068,39881,44744,3069,9581,0,0,2863,8833,0,0,8,9,66,91,9030226,462271797,8911962,423723887,8461828,333864988,7564914,292301958,2752492,37728237,3079750,2697276,2387504,69580742,710983,16721177,957600,2745948,10447,3652,0,0,7343,16811,0,0,6897,15455,0,0,54,55,117,141,9035448,443335769,3540321,33700360,2832509,21629062,847199,12071298,5460312,73475994,2337756,450975,,
"$500,000 under $1,000,000",1617144.0,866333,5577531,781743,4050339,3954,2649,0,0,0,0,1789,2031,74807,376203,114130,1261938,76979,862707,20555,267176,0,0,0,0,987,6411,7010,3700,0,0,0,0,11444,35420,0,0,4984,4548,0,0,0,0,1761,7599,3280,12267,0,0,2447,10948,11413,34928,0,0,0,0,0,0,0,0,0,0,1612396,244827113,0,0,1615603,252558323,1275324,9943429,451000,5570249,156,1,494,3256,502,3256,8524,5898,0,0,60602,241292,32274,200077,0,0,1100971,3465462,6387,15874,5,5,0,0,0,0,0,0,0,0,0,0,1615909,262500619,1593184,234185688,1439715,142856581,1326234,132195946,368251,7233503,962274,3035409,792146,67106993,343394,23232194,200322,966994,7753,11628,64,449,28,487,0,0,5,4,0,0,0,0,0,0,1615634,252557830,596199,19288880,308754,7188011,333515,12100869,1010859,47899105,582854,305544,,
"$1,000,000 under $1,500,000",376859.0,236444,2770555,216247,1970533,507,270,0,0,0,0,0,0,0,0,45735,739582,36011,529732,6721,172395,0,0,0,0,303,2061,1563,836,3132,22206,0,0,1080,5080,0,0,0,0,0,0,0,0,489,2337,301,1000,0,0,403,1734,1080,5080,0,0,0,0,0,0,0,0,0,0,375593,115008024,0,0,376495,119130275,297329,3838891,120936,2082900,0,0,152,52,152,52,2668,940,0,0,11991,31890,12953,99220,569,231,256641,1547073,2458,8347,0,0,0,0,0,0,0,0,0,0,0,0,376568,122969070,371612,112306534,325353,53517858,302075,50288126,78423,1765661,217137,1281601,239678,41384047,123599,17151365,44543,237699,0,0,29,170,0,0,0,0,0,0,0,0,0,0,0,0,376495,119130275,167771,10923832,64965,2921761,116687,8002071,206782,21731625,143580,145027,,
"$1,500,000 under $2,000,000",156020.0,103385,1905060,94495,1391902,319,231,0,0,0,0,0,0,0,0,23576,485131,19835,398395,2517,72983,0,0,0,0,107,733,555,323,1411,9399,0,0,1137,5334,0,0,0,0,0,0,0,0,66,464,193,884,0,0,174,874,1134,5304,0,0,0,0,0,0,0,0,0,0,155353,70041765,0,0,155851,72721172,123435,2131341,53125,1134113,0,0,98,254,107,255,887,2235,0,0,4800,9128,5572,54480,175,515,106351,887128,1453,12199,5,30,0,0,0,0,0,0,0,0,0,0,155882,74853313,154026,70241410,131288,28813211,122040,27229134,30183,731334,88870,739496,108936,28121270,63917,13191047,18256,98132,0,0,26,97,0,0,0,0,0,0,0,0,0,0,0,0,155854,72721144,76214,7085495,24972,1441491,57696,5644005,78867,11781937,58884,83914,,
"$2,000,000 under $5,000,000",233838.0,166286,5466928,152483,4053776,259,185,0,0,0,0,0,0,0,0,45547,1368261,39796,1128222,4947,209695,0,0,0,0,185,1284,596,311,1849,13584,12,47,0,0,0,0,0,0,0,0,0,0,88,312,238,1184,0,0,202,1135,0,0,0,0,0,0,0,0,0,0,0,0,232933,184436241,0,0,233680,192544953,183745,4804521,84717,2440634,26,10,141,676,152,686,1290,916,0,0,6063,22399,11703,134221,217,349,157658,2089310,3082,60530,0,0,0,0,0,0,0,0,0,0,0,0,233725,197350189,231445,193155480,192869,66929068,179500,63508271,43826,1473924,130317,1705777,177469,80893528,114603,45156087,26984,151859,0,0,14,43,0,0,0,0,0,0,0,0,0,0,0,0,233682,192544953,131262,21741209,39788,4273003,103992,17468206,101178,26109940,82267,173313,,
"$5,000,000 under $10,000,000",63406.0,48893,3524701,44942,2677983,84,60,0,0,0,0,0,0,0,0,17070,831785,15396,684143,2062,141376,0,0,0,0,30,209,113,67,460,3213,0,0,0,0,0,0,0,0,0,0,0,0,10,34,43,177,0,0,34,101,0,0,0,0,0,0,0,0,0,0,0,0,63155,112972811,0,0,63373,118711991,50563,2355959,25105,1096116,7,[4],88,853,91,853,281,196,0,0,1411,6383,4826,75896,68,48,43150,1110597,1253,39458,0,0,0,0,0,0,0,0,0,0,0,0,63384,121069291,62959,122467277,51278,35924097,47770,34257374,11439,501258,35426,938516,51688,50070373,38736,36399519,7183,42834,0,0,11,40,0,0,0,0,0,0,0,0,0,0,0,0,63374,118711988,41134,14208878,11962,2822302,34189,11386575,21954,12892810,20931,81870,,
"$10,000,000 or more",45404.0,37631,10954119,34652,8583787,52,46,0,0,0,0,0,0,0,0,16243,2356429,14977,2048958,1750,244744,0,0,0,0,31,231,57,32,391,2894,0,0,85,317,0,0,0,0,0,0,0,0,8,39,23,112,0,0,16,35,85,317,0,0,0,0,0,0,0,0,0,0,45149,345196995,0,0,45376,370181469,37162,4364467,19459,1641252,3,[4],59,234,60,234,190,294,0,0,770,3247,5313,169545,16,8,31587,2263270,1447,209825,0,0,0,0,0,0,0,0,0,0,0,0,45384,374549473,45146,400129026,36689,78330834,33953,74309311,8136,661268,26323,2560785,39286,147564452,32665,174119644,5208,44737,0,0,10,51,0,0,0,0,0,0,0,0,0,0,0,0,45376,370181469,33520,47223777,9568,8712061,29344,38511716,11728,21805325,13536,159619,,
"Taxable returns, total",104573768.0,44084285,111994983,10362087,27010612,400476,670978,4778734,5215362,4743441,712059,8647135,6645171,2021400,3449896,847063,9464226,454270,6739977,105103,1432845,12295,62381,9911,1141,14162,82420,83023,40479,126475,871141,68280,92045,25281675,58826526,2277353,647962,17348458,43799637,2572351,2082995,3507260,5691749,1560690,1098957,161516,234337,2893711,5019891,165992,242726,25281687,58826526,2277353,647962,17348458,43799637,2572351,2082995,3507272,5691749,2893711,5019891,104549808,2136650742,7207142,59695413,104573768,2196348205,22220197,84597013,11871962,58584189,39199,4456,24509,16604,61804,21060,495542,175545,8133,149173,3542652,4810654,162076,1103169,357354,173014,6000218,14545259,304808,518838,0,0,0,0,0,0,0,0,0,0,0,0,104573748,2280782390,101016034,2283718597,98699419,1414157110,84476970,1229507060,29496260,162968105,5254004,14212431,9311311,527991752,2424026,332217641,1876205,4983745,113567,48486,11921,29909,0,0,0,0,0,0,0,0,0,0,0,0,104573768,2196348205,68051282,297491596,65361263,185063995,3337122,112427601,36275478,300693084,11467578,1918861,,
No adjusted gross income,4367.0,1815,6901,39,36,0,0,154,232,491,517,661,980,19,308,852,2281,509,1813,0,0,0,0,683,472,0,0,0,0,0,0,0,0,1945,2749,1057,128,1274,1437,139,141,344,953,2239,501,993,50,2019,2189,0,0,1945,2749,1057,128,1274,1437,139,141,344,953,2019,2189,4361,186617,66,271,4367,186881,1751,32999,1160,23192,0,0,0,0,0,0,0,0,16,841,42,1092,79,2457,0,0,622,5686,353,371,0,0,0,0,0,0,0,0,0,0,0,0,4367,220539,2612,291902,2267,63893,2001,57500,395,2553,368,1857,1106,122100,370,104406,74,639,1034,1895,2040,2298,0,0,0,0,0,0,0,0,0,0,0,0,4367,186881,1444,156329,674,84079,831,72251,2923,85644,2187,748,,
"$1 under $5,000",142593.0,22095,505,21084,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142544,73072,0,0,142593,73079,15056,4258,8367,2248,0,0,0,0,0,0,0,0,0,0,7022,892,0,0,0,0,1325,1151,1650,1942,0,0,0,0,0,0,0,0,0,0,0,0,142593,77337,57199,63111,47650,54399,31541,3460,21167,9240,3332,43520,4576,5455,7045,3258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142593,73079,37091,11773,30563,7167,6577,4606,104495,26074,0,0,,
"$5,000 under $10,000",184757.0,27367,1026,27361,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184757,78223,0,0,184757,78223,23512,7097,17476,6494,0,0,0,0,0,0,0,0,0,0,6034,567,0,0,2019,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184757,85319,122232,56378,106712,37412,87621,16623,34192,18967,0,0,7474,6313,14088,11590,1533,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184757,78223,71557,25779,66457,20357,5100,5422,112192,54797,5098,75,,
"$10,000 under $15,000",1055682.0,62903,4097,23781,781,0,0,4031,438,7055,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28036,2397,24055,1916,0,0,0,0,0,0,0,0,0,0,0,0,2973,149,28036,2397,24055,1916,0,0,0,0,0,0,0,0,1055682,211113,0,0,1055682,211113,113058,130557,93784,121932,3024,234,6031,2359,4032,298,5050,335,0,0,10219,4873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055682,341671,902309,776977,888073,737202,679984,454727,223266,257909,4031,3327,16180,29431,9150,10456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055682,211113,825660,621083,816491,612998,11151,8084,228007,187204,51014,1539,,
"$15,000 under $20,000",3224975.0,1195357,392998,41139,2020,0,0,32192,4120,121329,19457,2026,1013,10055,1381,8211,655,0,0,0,0,0,0,9229,669,0,0,0,0,0,0,0,0,1086055,364353,1044928,351946,0,0,10062,842,2065,1239,59086,9353,3981,834,0,0,0,0,1086055,364353,1044928,351946,0,0,10062,842,2065,1239,0,0,3224915,1247479,208,6,3224975,1247485,329257,402726,248027,363888,0,0,0,0,0,0,0,0,0,0,45185,24068,0,0,0,0,102,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3224975,1650211,2771164,3463202,2749507,3374204,1899722,1961230,1025393,1340612,13054,34154,39774,91848,10025,14817,0,0,3024,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3224975,1247485,2495970,2377379,2484417,2361792,14823,15587,720976,547067,82992,3449,,
"$20,000 under $25,000",4511653.0,1594121,291583,73248,9260,0,0,107826,35498,680793,76387,33320,16461,17428,6447,1326,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899371,146895,712745,78571,0,0,34234,6467,13478,7966,190059,51173,5980,1631,0,0,3000,1086,899371,146895,712745,78571,0,0,34234,6467,13478,7966,0,0,4511505,4047553,489,76,4511653,4047630,570412,792969,413724,721363,4110,148,0,0,8125,2284,10072,4092,0,0,81974,26164,2551,17995,0,0,1126,342,4202,1053,0,0,0,0,0,0,0,0,0,0,0,0,4511653,4840599,4130201,6796803,4092829,6540940,3447011,4981152,1111920,1500309,22205,13648,79189,228438,17186,39539,0,0,3000,1612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4511653,4047630,3508740,3073538,3487726,3020863,23392,52675,995892,1109558,158664,6316,,
"$25,000 under $30,000",5152142.0,1712673,616206,109935,6245,0,0,167324,86592,1062949,119587,115416,60189,23247,10678,4002,4270,2017,2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441270,328644,23458,1238,3024,4535,54341,16833,165820,223945,180022,70529,7300,4276,0,0,9272,4364,441270,328644,23458,1238,3024,4535,54341,16833,165820,223945,0,0,5152093,6837013,295,34,5152142,6837046,606106,907417,410459,835084,3324,489,0,0,4332,648,15103,3654,0,0,92286,27517,0,0,0,0,151,111,3073,90,0,0,0,0,0,0,0,0,0,0,0,0,5152142,7744133,4842263,10313032,4803557,10032854,4099637,8052764,1182572,1871850,22191,23768,81563,258403,18642,44752,3127,77,3948,1877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5152142,6837046,3989138,4042863,3963642,3984184,32861,58679,1151907,1459155,249131,10030,,
"$30,000 under $40,000",10942006.0,2904758,2158531,266093,14674,0,0,502396,464443,1093193,186388,428921,245395,77012,38117,8427,8280,2324,915,1073,1932,0,0,0,0,5007,19437,0,0,0,0,4042,3791,1194332,1201235,199228,139402,141515,218208,205351,127415,388060,525020,336903,172274,11149,7048,3024,1369,12011,8459,1194332,1201235,199228,139402,141515,218208,205351,127415,388060,525020,3024,1369,10941846,21563554,770,260,10942006,21563813,1344977,2162090,789638,1830456,6014,238,4315,1371,8321,1246,34256,6258,0,0,235196,116285,0,0,12421,4976,2024,737,14046,7576,0,0,0,0,0,0,0,0,0,0,0,0,10942006,23720927,10457382,30499671,10344390,29615680,8899018,24402692,2501260,4884920,50769,66497,231510,910842,37851,102817,2340,829,8306,3732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10942006,21563813,8299782,10188260,8240201,10004188,80804,184073,2620049,3301055,516140,22589,,
"$40,000 under $50,000",10179035.0,3006077,3380488,360710,28691,9086,7856,444231,453325,747885,128196,594639,383469,122308,65529,19727,21670,6013,5996,1617,1035,0,0,0,0,0,0,4025,2782,0,0,7047,7062,1690494,2291751,261852,72429,833023,1419467,198093,142846,341315,460073,232036,131941,12204,7635,47389,41380,20743,15979,1690494,2291751,261852,72429,833023,1419467,198093,142846,341315,460073,47389,41380,10178852,28872618,600,253,10179035,28872871,1363698,2427036,784431,1935568,3007,1236,0,0,5014,1599,30436,10149,0,0,277693,156041,0,0,25401,11816,566,1017,17125,2897,0,0,0,0,0,0,0,0,0,0,0,0,10179035,31288090,9866339,39572428,9745016,38403768,8460369,32229972,2397680,5850157,42600,54990,299043,1154121,40529,121718,171,117,9716,3407,9727,26761,0,0,0,0,0,0,0,0,0,0,0,0,10179035,28872871,7738387,12026195,7654202,11799233,107690,226962,2420988,3662711,526932,24219,,
"$50,000 under $75,000",20080197.0,7630999,12319269,1103059,110384,47406,68421,1004513,1135056,1029745,181047,1655721,1161538,299252,235382,49787,86248,14622,30653,4062,5530,2008,4025,0,0,0,0,4028,2397,2000,11512,20061,25410,4603575,9341194,10030,2331,3174317,7192682,490688,400763,831163,1111078,305024,234601,29438,29516,236714,343365,27681,26284,4603575,9341194,10030,2331,3174317,7192682,490688,400763,831163,1111078,236714,343365,20079918,93196258,1545,749,20080197,93197007,3092800,6827208,1861340,5436229,8034,980,3015,438,11050,1418,82775,35614,0,0,619370,449978,3009,2656,76538,34438,5061,3608,76780,31215,0,0,0,0,0,0,0,0,0,0,0,0,20080197,99990669,19549241,118676678,19199561,113447460,16406291,94657885,5362596,17823084,103935,184957,935186,4371377,154553,701654,12858,9876,16711,3767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20080197,93197007,14174054,30657690,13937068,29914660,317070,743030,5873867,12207141,1568028,75380,,
"$75,000 under $100,000",13899732.0,5963727,13711330,1113726,182993,60776,94510,811468,885390,0,0,1434515,1105469,335062,316601,50235,109616,22556,31209,1514,2466,0,0,0,0,0,0,3057,1459,6114,39906,17038,23357,3913443,11016752,0,0,3190730,8897721,453563,359898,545748,797414,124451,155545,15276,14467,396572,766584,19542,23270,3913443,11016752,0,0,3190730,8897721,453563,359898,545748,797414,396572,766584,13899298,105625288,1770,905,13899732,105626193,2340907,6334068,1479103,5077522,2999,299,4017,1474,7016,1773,65345,22038,0,0,507558,529356,3363,2510,59369,30312,8834,4175,45515,15596,0,0,0,0,0,0,0,0,0,0,0,0,13899732,111929949,13608837,125906837,13348032,119151017,11343648,97328084,4438595,20934290,87312,141731,931896,5413233,142085,669711,10589,9106,15144,2775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13899732,105626193,9160603,26507121,8949124,25573287,286300,933834,4714702,13300172,1500831,88286,,
"$100,000 under $200,000",23680641.0,12737808,35836380,3198558,974485,179510,376130,1704598,2150268,0,0,3148560,2642208,737356,1390683,200375,765722,81384,256266,11416,46040,7052,33129,0,0,5012,33580,32568,15177,51015,344844,19391,31617,8466915,27536884,0,0,7113056,20581675,1125879,1027791,1217804,2562263,111308,214764,49870,96081,1487818,2962477,45521,89693,8466927,27536885,0,0,7113056,20581675,1125879,1027791,1217816,2562263,1487818,2962477,23678030,365139832,120976,56723,23680641,365196521,5173997,18258739,3290052,14809847,7310,800,3159,1727,9470,2528,172028,46961,613,2062,1123488,1892752,25270,98746,139749,66284,334709,84865,86186,68033,0,0,0,0,0,0,0,0,0,0,0,0,23680629,383389183,23347114,391506915,22740818,352633026,19549002,291369804,7907898,58425170,366074,710118,2891307,30891682,545537,4450642,585693,675566,34557,11870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23680641,365196520,13175583,54040049,12449437,48995848,930379,5044201,10439785,49092962,3567245,286056,,
"$200,000 under $500,000",9025608.0,5767242,13593129,2700382,3463937,98521,120620,0,0,0,0,1231567,1026418,324867,1009110,241871,1425003,121883,759448,46891,269797,3236,25228,0,0,2502,18474,29450,13397,60103,423585,690,762,2942531,6548044,0,0,2886542,5479368,0,0,1462,1798,17146,47494,21271,57419,720177,902526,21996,58887,2942531,6548044,0,0,2886542,5479368,0,0,1462,1798,720177,902526,9011428,437089172,7080422,59636135,9025608,443362161,5277580,18879710,1720291,13460379,1332,21,2940,3910,3380,3931,66637,35965,7503,146269,450989,1267357,55181,245713,40811,23704,3949558,3082302,39810,43936,0,0,0,0,0,0,0,0,0,0,0,0,9025600,462220209,8901594,423457899,8454375,333758543,7559891,292230577,2749199,37706902,3078043,2684405,2383660,69439241,710168,16704413,957367,2745219,10377,3534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9025608,443362162,3527933,33435581,2821758,21438406,845012,11997175,5458507,73442200,2337350,450913,,
"$500,000 under $1,000,000",1615603.0,865196,5366940,780632,3842187,3954,2649,0,0,0,0,1789,2031,74794,375660,114097,1260030,76956,861884,20542,266175,0,0,0,0,987,6411,7010,3700,0,0,0,0,11413,34928,0,0,4977,4543,0,0,0,0,1756,7597,3263,12043,0,0,2428,10687,11413,34928,0,0,4977,4543,0,0,0,0,0,0,1612396,244827113,0,0,1615603,252558323,1275017,9940532,450868,5568515,0,0,494,3256,502,3256,8524,5898,0,0,60576,240989,32266,200029,0,0,1100827,3464985,6382,15871,0,0,0,0,0,0,0,0,0,0,0,0,1615603,262497734,1592668,234147004,1439333,142837301,1326025,132189809,368167,7231814,962078,3024179,791973,67093614,343317,23226296,200294,966868,7750,11616,64,449,0,0,0,0,0,0,0,0,0,0,0,0,1615603,252558323,595729,19251705,308401,7161596,333380,12090109,1010740,47898207,582802,305534,,
"$1,000,000 or more",874776.0,592148,24315600,542341,18373590,1221,792,0,0,0,0,0,0,0,0,148155,5779831,126008,4789419,17989,839869,0,0,0,0,656,4518,2885,1568,7243,51295,12,47,2296,10699,0,0,0,0,0,0,0,0,661,3185,792,3335,0,0,825,3868,2296,10699,0,0,0,0,0,0,0,0,0,0,872183,827655837,0,0,874776,873289859,692069,17489608,303243,8391472,44,12,538,2068,562,2080,5316,4580,0,0,25021,72722,40356,533063,1046,1151,595313,7896250,9687,330257,0,0,0,0,0,0,0,0,0,0,0,0,874776,890785821,864879,898189760,737300,263469411,685210,249570782,171959,5110328,498012,7225278,616874,347975654,373480,286011571,102159,575064,0,0,90,401,0,0,0,0,0,0,0,0,0,0,0,0,874776,873289859,449610,101076252,151102,20085339,341754,80990913,420449,94319137,319164,643729,,
"Nontaxable returns, total",56250572.0,23144187,38061657,464873,2471981,201444,406731,3344218,3064244,4455689,1047082,3131680,2079399,585259,1883436,249183,902682,68237,327189,19126,60301,59407,272822,30352,2592,8350,20960,4485,2203,39769,166217,22508,44545,40769941,174573781,29938830,65036473,20423153,72069488,3454705,3087218,8681076,15171306,2782524,2526049,1023541,4500613,2738860,6960987,1032523,5191891,18548090,26206060,13026130,8726044,6041888,13813643,600772,296382,1563520,1401739,569184,967912,0,0,3994,2198,0,0,11350637,19956686,9750412,18596109,33241,9075,28238,12451,57448,21053,114257,34185,603,4206,941407,389074,10457,112369,99363,47382,28586,45463,69301,93022,9960607,13067969,7204793,7802494,2031747,2799308,331071,171855,586244,532573,202168,219166,3653221,6785431,39387741,70949720,38546530,56611449,33436525,45998619,8077796,10089551,201508,235046,848588,6382001,155487,980728,19894,27850,127966,187911,9824,6684,38362021,135299752,25321866,48507936,18541727,55456537,3208328,2618981,8312893,13236994,2643717,5773909,40763927,-148367721,47730216,197079652,47418512,193500523,444067,3579129,2608328,4360361,744020,32839,,
* Estimate should be used with caution due to the small number of sample returns on which it is based.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** Data combined to avoid disclosure of information for specific taxpayers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[1] Includes District of Columbia first time homebuyers credit, credit to holder of tax credit bonds, Form 8978 partners additional
reporting section 6226 tax credit, qualified electric vehicle credit, and other nonrefundable credits not shown separately.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[2] The recovery rebate credit was for taxpayers who didn't receive full amount of the recovery rebate in the third round 
Economic Impact Payments.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3] Refundable credits includes only the portion that is refundable and the part used to offset other taxes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4] Less than $500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: Detail may not add to totals because of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: IRS, Statistics of Income Division, Publication 1304, November 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
